gene_id,importance
ENSG00000175793,0.024831168831168832
ENSG00000178752,0.02009357062690396
ENSG00000163873,0.017384615384615384
ENSG00000166402,0.014332980599647266
ENSG00000101188,0.010927472527472526
ENSG00000127412,0.010192696192696195
ENSG00000134321,0.01
ENSG00000230869,0.009643956043956044
ENSG00000163827,0.009544872763920383
ENSG00000225632,0.008678659611992944
ENSG00000123500,0.00844848484848485
ENSG00000234156,0.008103896103896105
ENSG00000154065,0.007965432098765431
ENSG00000268401,0.0075151515151515155
ENSG00000137959,0.007466666666666667
ENSG00000251623,0.007432098765432099
ENSG00000162896,0.007413564213564213
ENSG00000170153,0.007224908424908424
ENSG00000187870,0.0070141414141414145
ENSG00000211897,0.006927472527472528
